Track,Artist,Album,Popularity,Danceability,Energy,Valence,Tempo,id,Date Added,Genres
Like That,"['Future', 'Metro Boomin', 'Kendrick Lamar']",WE DON'T TRUST YOU,96,,,,,2tudvzsrR56uom6smgOcSf,2024-04-01T06:47:28Z,N/A
Beautiful Things,['Benson Boone'],Beautiful Things,96,,,,,6tNQ70jh4OwmPGpYy6R2o9,2024-03-22T22:44:09Z,N/A
euphoria,['Kendrick Lamar'],euphoria,94,,,,,77DRzu7ERs0TX3roZcre7Q,2024-05-01T07:22:08Z,N/A
FE!N (feat. Playboi Carti),"['Travis Scott', 'Playboi Carti']",UTOPIA,93,,,,,42VsgItocQwOQC3XWZ8JNA,2023-12-31T10:03:50Z,N/A
Push Ups,['Drake'],Push Ups,91,,,,,3eh51r6rFWAlGQRlHx9QnQ,2024-04-19T17:22:58Z,N/A
redrum,['21 Savage'],american dream,91,,,,,52eIcoLUM25zbQupAZYoFh,2024-01-26T08:09:25Z,N/A
Lovin On Me,['Jack Harlow'],Lovin On Me,90,,,,,4xhsWYTOGcal8zt0J161CU,2023-12-31T09:34:36Z,N/A
Water,['Tyla'],Water,90,,,,,5aIVCx5tnk0ntmdiinnYvw,2023-09-04T08:01:25Z,N/A
Pink + White,['Frank Ocean'],Blonde,89,,,,,3xKsf9qdS1CyvXSMEid6g8,2023-09-18T16:51:54Z,N/A
Lose Control,['Teddy Swims'],Lose Control,88,,,,,6usohdchdzW9oML7VC4Uhk,2024-02-01T18:00:14Z,N/A
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),88,,,,,6WzRpISELf3YglGAh7TXcG,2023-12-09T07:01:45Z,N/A
Mockingbird,['Eminem'],Encore (Deluxe Version),87,,,,,561jH07mF1jHuk7KlaeF0s,2023-12-18T07:31:13Z,N/A
Rich Baby Daddy (feat. Sexyy Red & SZA),"['Drake', 'Sexyy Red', 'SZA']",For All The Dogs,87,,,,,1yeB8MUNeLo9Ek1UEpsyz6,2023-12-16T06:55:42Z,N/A
No Role Modelz,['J. Cole'],2014 Forest Hills Drive,87,,,,,68Dni7IE4VyPkTOH9mRWHr,2023-04-06T12:25:00Z,N/A
Surround Sound (feat. 21 Savage & Baby Tate),"['JID', '21 Savage', 'Baby Tate']",The Forever Story (Extended Version),86,,,,,1udwFobQ1JoOdWPQrp2b6u,2023-12-09T06:56:48Z,N/A
fukumean,['Gunna'],a Gift & a Curse,86,,,,,4rXLjWdF2ZZpXCVTfWcshS,2023-08-04T06:01:54Z,N/A
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,86,,,,,2dHHgzDwk4BJdRwy9uXhTO,2023-06-05T18:28:17Z,N/A
Sure Thing,['Miguel'],All I Want Is You,86,,,,,0JXXNGljqupsJaZsgSbMZV,2022-12-30T07:35:21Z,N/A
Thinkin Bout You,['Frank Ocean'],channel ORANGE,85,,,,,7DfFc7a6Rwfi3YQMRbDMau,2023-07-09T18:46:18Z,N/A
Demons,['Imagine Dragons'],Night Visions,85,,,,,5qaEfEh1AtSdrdrByCP7qR,2023-07-09T18:19:32Z,N/A
Under The Influence,['Chris Brown'],Indigo (Extended),85,,,,,5IgjP7X4th6nMNDh4akUHb,2023-06-02T23:22:51Z,N/A
The Door,['Teddy Swims'],I've Tried Everything But Therapy (Part 1),84,,,,,3dj4wgM3cPeuLwMNHDuBon,2024-03-13T14:39:49Z,N/A
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney,84,,,,,2tUBqZG2AbRi7Q0BIrVrEj,2024-02-21T19:16:07Z,N/A
We Found Love,"['Rihanna', 'Calvin Harris']",Talk That Talk,84,,,,,6qn9YLKt13AGvpq9jfO8py,2024-02-03T07:41:55Z,N/A
First Person Shooter (feat. J. Cole),"['Drake', 'J. Cole']",For All The Dogs,84,,,,,7aqfrAY2p9BUSiupwk3svU,2023-11-19T19:25:20Z,N/A
Superhero (Heroes & Villains) [with Future & Chris Brown],"['Metro Boomin', 'Future', 'Chris Brown']",HEROES & VILLAINS,84,,,,,0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-11T06:59:28Z,N/A
Jimmy Cooks (feat. 21 Savage),"['Drake', '21 Savage']","Honestly, Nevermind",84,,,,,3F5CgOj3wFlRv51JsHbxhe,2023-01-09T13:04:44Z,N/A
The Box,['Roddy Ricch'],Please Excuse Me for Being Antisocial,83,,,,,0nbXyq5TXYPCO7pr3N8S4I,2024-02-27T08:30:55Z,N/A
SICKO MODE,['Travis Scott'],ASTROWORLD,83,,,,,2xLMifQCjDGFmkHkpNLD9h,2024-02-27T08:00:07Z,N/A
Wet Dreamz,['J. Cole'],2014 Forest Hills Drive,83,,,,,4tqcoej1zPvwePZCzuAjJd,2022-12-30T06:18:21Z,N/A
All Falls Down,"['Kanye West', 'Syleena Johnson']",The College Dropout,82,,,,,5SkRLpaGtvYPhw02vZhQQ9,2023-12-18T07:21:43Z,N/A
Angel Numbers / Ten Toes,['Chris Brown'],11:11,82,,,,,3XqM8hLCEYlbnFjoWwqtFv,2023-12-09T06:23:42Z,N/A
Exchange,['Bryson Tiller'],T R A P S O U L,82,,,,,43PuMrRfbyyuz4QpZ3oAwN,2023-07-17T06:46:43Z,N/A
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']",Hands All Over (Revised International Standard version),82,,,,,7pYfyrMNPn3wtoCyqcTVoI,2023-07-09T18:45:48Z,N/A
Novacane,['Frank Ocean'],Novacane,82,,,,,4osgfFTICMkcGbbigdsa53,2023-06-26T10:38:47Z,N/A
DNA.,['Kendrick Lamar'],DAMN.,82,,,,,6HZILIRieu8S0iqY8kIKhj,2023-06-03T06:31:56Z,N/A
Drip Too Hard (Lil Baby & Gunna),"['Lil Baby', 'Gunna']",Drip Harder,82,,,,,78QR3Wp35dqAhFEc2qAGjE,2023-02-11T07:24:43Z,N/A
Alright,['Kendrick Lamar'],To Pimp A Butterfly,82,,,,,3iVcZ5G6tvkXZkZKlMpIUs,2023-02-03T08:52:32Z,N/A
Work Out,['J. Cole'],Cole World: The Sideline Story,82,,,,,2wAJTrFhCnQyNSD3oUgTZO,2022-12-30T06:33:34Z,N/A
TOPIA TWINS (feat. Rob49 & 21 Savage),"['Travis Scott', 'Rob49', '21 Savage']",UTOPIA,81,,,,,0lodMO0qK83vfPiiD7FMEt,2024-05-02T07:59:29Z,N/A
Overdue (with Travis Scott),"['Metro Boomin', 'Travis Scott']",NOT ALL HEROES WEAR CAPES (Deluxe),81,,,,,6LyAwkJsHlW7RQ8S1cYAtM,2023-07-27T14:47:32Z,N/A
Rich Flex,"['Drake', '21 Savage']",Her Loss,81,,,,,1bDbXMyjaUIooNwFE9wn0N,2023-05-29T07:00:24Z,N/A
